,Name,SafetyGrade,ZIP,Latitude,Longitude,Distance,Address
583,Mary Greeley Medical Center,C,50010,42.0327263,-93.6117406,6403.390287844,"1111 Duff Avenue, Ames, IA 50010-5745"
584,Mercy Iowa City,C,52245,41.6641176,-91.528466,6296.9861170704,"500 E. Market Street, Iowa City, IA 52245-2689"
585,Mercy Medical Center,C,52403,41.9784474,-91.6559663,6303.147221674,"701 10th Street SE, Cedar Rapids, IA 52403-1292"
586,MercyOne Clinton Medical Center - North Campus,C,52732,41.8614111,-90.1892084,6227.8358141944,"1410 N. Fourth Street, Clinton, IA 52732-2940"
587,MercyOne Des Moines Medical Center,C,50314,41.5989873,-93.6229402,6405.2284577587,"1111 6th Avenue, Des Moines, IA 50314-2611"
588,MercyOne Dubuque Medical Center,C,52001,42.4925024,-90.674608,6252.4672715398,"250 Mercy Drive, Dubuque, IA 52001-7360"
589,MercyOne West Des Moines Medical Center,C,50266,41.5978449,-93.790643,6413.8884842075,"1755 59th Place, West Des Moines, IA 50266"
590,Methodist Jennie Edmundson Hospital,C,51503,41.2685464,-95.8347527,6520.8695876175,"933 E. Pierce Street, Council Bluffs, IA 51503-4652"
591,Methodist West Hospital,C,50266,41.5963821,-93.7952894,6414.13276465,"1660 60th Street, West Des Moines, IA 50266"
592,Ottumwa Regional Health Center,C,52501,41.0288887,-92.3895049,6342.6254908127,"1001 E. Pennsylvania Avenue, Ottumwa, IA 52501-2186"
593,Southeast Iowa Regional Medical Center - Fort Madison Campus,C,52627,40.624254,-91.382318,6290.5844156281,"5445 Avenue O, Fort Madison, IA 52627-0174"
594,Spencer Hospital,C,51301,43.149941,-95.143174,6477.1824226583,"1200 First Avenue East, Spencer, IA 51301"
595,St. Anthony Regional Hospital,C,51401,42.0564248,-94.8660363,6467.5846632748,"311 South Clark Street, Carroll, IA 51401-3038"
596,UnityPoint Health - Finley Hospital,C,52001,42.4962806,-90.6859143,6253.0411369185,"350 N. Grandview Avenue, Dubuque, IA 52001-6388"
597,UnityPoint Health - St. Luke's Hospital in Cedar Rapids,C,52402,41.9852983,-91.6604849,6303.3700827592,"1026 A Avenue NE, Cedar Rapids, IA 52402-3026"
598,UnityPoint Health - St. Luke's Regional Medical Center of Sioux City,C,51104,42.5194638,-96.4059744,6543.9978943734,"2720 Stone Park Boulevard, Sioux City, IA 51104-2000"
599,UnityPoint Health - Trinity Bettendorf,C,52722,41.5660214,-90.5198278,6244.9710695632,"4500 Utica Ridge Road, Bettendorf, IA 52722-1626"
600,UnityPoint Health - Trinity Regional Medical Center,C,50501,42.4938813,-94.1892636,6431.4287872922,"802 Kenyon Road, Fort Dodge, IA 50501-5795"
601,UnityPoint Health-Grinnell Regional Medical Center,C,50112,41.7425262,-92.7344295,6359.0391309543,"210 Fourth Avenue, Grinnell, IA 50112-1833"
602,MercyOne North Iowa Medical Center,D,50401,43.150633,-93.217178,6380.2225360652,"1000 Fourth Street SW, Mason City, IA 50401-2800"
603,MercyOne Siouxland Medical Center,D,51101,42.4954546,-96.4011583,6543.8787322597,"801 5th Street, Sioux City, IA 51101"
604,MercyOne Waterloo Medical Center,D,50702,42.4610567,-92.3460308,6337.662437702,"3421 W. Ninth Street, Waterloo, IA 50702-5499"
605,Southeast Iowa Regional Medical Center - West Burlington Campus,D,52655,40.80922,-91.1702814,6279.2963197168,"1221 S. Gear Avenue, West Burlington, IA 52655-1681"
606,University of Iowa Hospitals and Clinics,D,52242,41.6594594,-91.5479919,6297.9995468908,"200 Hawkins Drive, Iowa City, IA 52242-1009"
607,MercyOne Cedar Falls Medical Center,G,50613,42.5336466,-92.4580897,6343.226431068,"515 College Street, Cedar Falls, IA 50613-2500"
608,UnityPoint Health - Marshalltown,G,50158,42.0490806,-92.9193637,6367.8466946215,"3 S. Fourth Avenue, Marshalltown, IA 50158-2998"
609,Portneuf Medical Center,A,83201,42.8738682,-112.4210182,7339.5269136743,"777 Hospital Way, Pocatello, ID 83201-4004"
610,Saint Alphonsus Medical Center - Nampa,A,83687,43.5974489,-116.517392,7521.4614844599,"4300 E Flamingo Ave, Nampa, ID 83687-3138"
611,St. Luke's Boise Medical Center,A,83712,43.6128522,-116.1923153,7505.7277899125,"190 East Bannock Street, Boise, ID 83712-6241"
612,St. Luke's Magic Valley Medical Center,A,83301,42.5907332,-114.4959781,7446.0626175922,"801 Pole Line Road West, Twin Falls, ID 83301-5810"
613,St. Luke's Meridian Medical Center,A,83642,43.5998371,-116.3522255,7513.5906762861,"520 S. Eagle Rd., Meridian, ID 83642-6351"
614,West Valley Medical Center,A,83605,43.6544661,-116.6948518,7528.562981693,"1717 ARLINGTON AVE, Caldwell, ID 83605-4864"
615,Eastern Idaho Regional Medical Center,B,83404,43.4700469,-111.9916136,7307.6077660418,"3100 Channing Way, Idaho Falls, ID 83404-7533"
616,Kootenai Health,B,83814,47.6962908,-116.793832,7438.3757849314,"2003 Kootenai Health Way, Coeur D'Alene, ID 83814-2677"
617,Saint Alphonsus Regional Medical Center - Boise,B,83706,43.613949,-116.2565541,7508.7459196348,"1055 North Curtis Road, Boise, ID 83706-1370"
618,St. Luke's Nampa Medical Center,B,83687,43.6173907,-116.5903087,7524.46117733,"9850 W. St. Luke's Drive, Nampa, ID 83687-7912"
619,Madison Memorial Hospital,C,83440,43.825512,-111.770711,7290.4050075644,"450 East Main St, Rexburg, ID 83440-2048"
620,St. Joseph Regional Medical Center,D,83501,46.4164964,-117.0249777,7479.3676518412,"415 Sixth Street, Lewiston, ID 83501-0816"
621,Mountain View Hospital,G,83404,43.4743705,-111.987557,7307.3318314291,"2325 Coronado Street, Idaho Falls, ID 83404"
622,AdventHealth GlenOaks,A,60139,41.914654,-88.057238,6118.2259379542,"701 N. Winthrop Avenue, Glendale Heights, IL 60139-1403"
623,AdventHealth Hinsdale,A,60521,41.8056124,-87.9206821,6111.0246909333,"120 N. Oak Street, Hinsdale, IL 60521-3890"
624,AdventHealth La Grange,A,60525,41.7969289,-87.8859883,6109.2237204998,"5101 S. Willow Springs Road, La Grange, IL 60525-2680"
625,Ascension Resurrection,A,60631,41.987827,-87.8143703,6105.8720205492,"7435 W. Talcott Avenue, Chicago, IL 60631-3746"
626,Blessing Hospital,A,62301,39.9356331,-91.3983503,6292.175790425,"11th & Broadway, Quincy, IL 62301"
627,Carle Foundation Hospital,A,61801,40.1178595,-88.2138419,6123.7354969062,"611 W. Park Street, Urbana, IL 61801-2595"
628,Elmhurst Memorial Hospital,A,60126,41.864222,-87.9357411,6111.8973311191,"155 East Brush Hill Road, Elmhurst, IL 60126-2989"
629,Graham Hospital,A,61520,40.5527854,-90.039458,6220.1713511031,"210 W. Walnut Street, Canton, IL 61520-2497"
630,HSHS St. Elizabeth's Hospital,A,62269,38.5906689,-89.9339015,6214.5305313605,"1 Saint Elizabeth's Blvd, O'Fallon, IL 62269"
631,Insight Hospital & Medical Center Chicago,A,60616,41.8466974,-87.6213852,6095.6945672357,"2525 S. Michigan Avenue, Chicago, IL 60616-2477"
632,Loyola Gottlieb Memorial Hospital,A,60160,41.9108216,-87.8423407,6107.1739903553,"701 W. North Avenue, Melrose Park, IL 60160-1692"
633,MacNeal Hospital,A,60402,41.8321577,-87.7916104,6104.4266548596,"3249 S. Oak Park Avenue, Berwyn, IL 60402-0715"
634,McDonough District Hospital,A,61455,40.4479134,-90.6657847,6253.1047752882,"525 E. Grant Street, Macomb, IL 61455-3318"
635,Morris Hospital,A,60450,41.3691093,-88.4254953,6136.4667353281,"150 W. High Street, Morris, IL 60450-1497"
636,Northwest Community Hospital,A,60005,42.0673573,-87.9935772,6115.2010380128,"800 W. Central Road, Arlington Heights, IL 60005-2392"
637,Northwestern Medicine Central DuPage Hospital,A,60190,41.872551,-88.15703,6123.2927755384,"25 N. Winfield Road, Winfield, IL 60190"
638,Northwestern Medicine Delnor Hospital,A,60134,41.8856574,-88.3431137,6132.8816367234,"300 Randall Road, Geneva, IL 60134"
639,Northwestern Medicine Huntley Hospital,A,60142,42.1791104,-88.4027467,6136.3268342441,"10400 Haligus Rd, Huntley, IL 60142"
640,Northwestern Medicine Kishwaukee Hospital,A,60115,41.9628227,-88.7238401,6152.541160683,"1 Kish Hospital Drive, DeKalb, IL 60115-9602"
641,Northwestern Medicine McHenry Hospital,A,60050,42.3182475,-88.2793253,6130.2030844344,"4201 Medical Center Drive, McHenry, IL 60050-9506"
642,Northwestern Medicine Palos Hospital,A,60463,41.6687555,-87.813948,6105.2893295803,"12251 S. 80th Avenue, Palos Heights, IL 60463-0930"
643,OSF HealthCare Saint Francis Medical Center,A,61637,40.7018902,-89.5907819,6196.6660457427,"530 NE Glen Oak Avenue, Peoria, IL 61637-0001"
644,OSF Saint James - John W. Albrecht Medical Center,A,61764,40.8733544,-88.6761509,6148.9408562104,"2500 W. Reynolds Street, Pontiac, IL 61764-2194"
645,Ottawa Regional Hospital and Healthcare Center dba OSF Saint Elizabeth Medical Center,A,61350,41.3577404,-88.824195,6157.1259627504,"1100 E. Norris Drive, Ottawa, IL 61350-1687"
646,Riverside Medical Center,A,60901,41.1256827,-87.8852665,6108.0530370607,"350 N. Wall Street, Kankakee, IL 60901-0749"
647,Rush Copley Medical Center,A,60504,41.7294968,-88.269583,6128.8830038552,"2000 Ogden Avenue, Aurora, IL 60504-7222"
648,Rush Oak Park Hospital,A,60304,41.8785658,-87.8030661,6105.0982371215,"520 S. Maple Avenue, Oak Park, IL 60304-1097"
649,Rush University Medical Center,A,60612,41.8746425,-87.669154,6098.2046014677,"1653 W. Congress Parkway, Chicago, IL 60612-3833"
650,SIH Memorial Hospital of Carbondale,A,62901,37.7277551,-89.2202884,6175.4930268115,"405 W. Jackson Street, Carbondale, IL 62901-9000"
651,Silver Cross Hospital,A,60451,41.544463,-87.983788,6113.8515301938,"1900 Silver Cross Boulevard, New Lenox, IL 60451"
652,SSM Health St. Mary's Hospital-Centralia,A,62801,38.5300938,-89.1172755,6170.3914152225,"400 N. Pleasant Avenue, Centralia, IL 62801-3091"
653,UnityPoint Health - Methodist,A,61636,40.7007812,-89.5952936,6196.902004165,"221 NE Glen Oak Avenue, Peoria, IL 61636-4310"
654,University of Chicago Medical Center,A,60637,41.7883128,-87.6045656,6094.716772902,"5841 S. Maryland Avenue, Chicago, IL 60637-1447"
655,AdventHealth Bolingbrook,B,60440,41.6807313,-88.0836217,6119.2217203166,"500 Remington Boulevard, Bolingbrook, IL 60440-4988"
656,Ascension Alexian Brothers,B,60007,42.0046842,-88.0166379,6116.2831078137,"800 Biesterfield Road, Elk Grove Village, IL 60007-3397"
657,Ascension Mercy,B,60506,41.7855592,-88.3257258,6131.852634539,"1325 N. Highland Avenue, Aurora, IL 60506-1449"
658,Ascension Saint Alexius,B,60169,42.0532391,-88.1411079,6122.744675755,"1555 Barrington Road, Hoffman Estates, IL 60169-1019"
659,Ascension Saint Francis,B,60202,42.0246094,-87.6844059,6099.2689184379,"355 Ridge Avenue, Evanston, IL 60202-3399"
660,Ascension Saint Joseph - Joliet,B,60435,41.5276041,-88.1361629,6121.7036908297,"333 N. Madison Street, Joliet, IL 60435-6595"
661,Ascension Saint Joseph-Chicago,B,60657,41.9341784,-87.6357937,6096.6024081328,"2900 N. Lake Shore Drive, Chicago, IL 60657"
662,Ascension Saint Joseph-Elgin,B,60123,42.0357784,-88.3267271,6132.2414786149,"77 N. Airlite Street, Elgin, IL 60123-4912"
663,Ascension Saint Mary-Chicago,B,60622,41.9023507,-87.683302,6098.9838685409,"2233 W. Division Street, Chicago, IL 60622-8151"
664,Ascension Saint Mary-Kankakee,B,60901,41.1204987,-87.8720403,6107.3561558045,"500 W. Court Street, Kankakee, IL 60901-3661"
665,Edward Hospital,B,60540,41.7611376,-88.1500562,6122.7683497521,"801 S. Washington Street, Naperville, IL 60540-7499"
666,"Genesis Medical Center, Silvis",B,61282,41.495809,-90.418714,6239.7678202109,"801 Illini Drive, Silvis, IL 61282-1893"
667,HSHS St. Anthony's Memorial Hospital,B,62401,39.126797,-88.550591,6140.4198165328,"503 N. Maple Street, Effingham, IL 62401-2099"
668,"HSHS St. Joseph's Hospital, Breese",B,62230,38.626075,-89.523358,6192.373064579,"9515 Holy Cross Lane, Breese, IL 62230-0099"
669,Humboldt Park Health,B,60622,41.9006786,-87.6996714,6099.8222224431,"1044 N. Francisco, Chicago, IL 60622-2794"
670,Ingalls Memorial Hospital,B,60426,41.607243,-87.6595979,6097.2106614405,"1 Ingalls Drive, Harvey, IL 60426-3591"
671,Loretto Hospital,B,60644,41.8721531,-87.763604,6103.057369759,"645 S. Central Avenue, Chicago, IL 60644-9987"
672,NorthShore University HealthSystem -Evanston Hospital,B,60201,42.0655989,-87.6842083,6099.3354517373,"2650 Ridge Avenue, Evanston, IL 60201-1613"
673,NorthShore University HealthSystem -Glenbrook Hospital,B,60025,42.091372,-87.8538835,6108.0799876418,"2100 Pfingsten Road, Glenview, IL 60025"
674,NorthShore University HealthSystem-Highland Park Hospital,B,60035,42.189816,-87.807584,6105.8816217477,"777 Park Avenue W., Highland Park, IL 60035"
675,OSF Sacred Heart Medical Center,B,61832,40.1381038,-87.6456841,6093.7623776093,"812 N. Logan Avenue, Danville, IL 61832-3788"
676,OSF Saint Anthony Medical Center,B,61108,42.2697837,-89.0074714,6167.3575009631,"5666 E. State Street, Rockford, IL 61108-2425"
677,OSF Saint Anthony's Health Center,B,62002,38.9076261,-90.1721006,6227.3526466348,"1 St. Anthonys Way, Alton, IL 62002-4579"
678,OSF St. Mary Medical Center,B,61401,40.9882054,-90.3637395,6237.0697656394,"3333 N. Seminary Street, Galesburg, IL 61401-1299"
679,Swedish Hospital,B,60625,41.9752241,-87.6981672,6099.8832081447,"5145 N. California Avenue, Chicago, IL 60625-3688"
680,UnityPoint Health - Proctor,B,61614,40.7529512,-89.5976133,6197.0400223583,"5409 N. Knoxville Avenue, Peoria, IL 61614-5094"
681,Advocate Condell Medical Center,C,60048,42.2744766,-87.9575656,6113.6970434058,"801 S. Milwaukee Avenue, Libertyville, IL 60048-3199"
682,Advocate Good Samaritan Hospital,C,60515,41.817932,-88.0090369,6115.5934455982,"3815 Highland Avenue, Downers Grove, IL 60515-1590"
683,Advocate Good Shepherd Hospital,C,60010,42.195692,-88.1732015,6124.6012271532,"450 IL-22, Barrington, IL 60010-1901"
684,Advocate Illinois Masonic Medical Center,C,60657,41.9367831,-87.6513434,6097.4062440774,"836 W. Wellington Avenue, Chicago, IL 60657-5193"
685,Advocate Lutheran General Hospital,C,60068,42.0384783,-87.847611,6107.6665076995,"1775 Dempster Street, Park Ridge, IL 60068-1174"
686,Advocate Sherman Hospital,C,60123,42.069983,-88.3307273,6132.4928308595,"1425 N. Randall Road, Elgin, IL 60123-2300"
687,Alton Memorial Hospital,C,62002,38.8996874,-90.1591356,6226.6565666245,"1 Memorial Drive, Alton, IL 62002-6722"
688,Anderson Hospital,C,62062,38.7368469,-89.9462256,6215.2019824011,"6800 State Route 162, Maryville, IL 62062-8500"
689,Carle BroMenn Medical Center,C,61761,40.4963905,-88.9910596,6165.0921584934,"1304 Franklin Avenue, Normal, IL 61761"
690,Carle Richland Memorial Hospital,C,62450,38.7350509,-88.0770778,6114.4746109437,"800 E. Locust Street, Olney, IL 62450-2553"
691,CGH Medical Center,C,61081,41.8016008,-89.6971385,6202.5015595257,"100 E Le Fevre Rd, Sterling, IL 61081-1279"
692,Decatur Memorial Hospital,C,62526,39.8666192,-88.9613543,6163.0226359609,"2300 N. Edward Street, Decatur, IL 62526-4192"
693,FHN Memorial Hospital,C,61032,42.2959242,-89.6377339,6199.5866569584,"1045 W. Stephenson Street, Freeport, IL 61032-4899"
694,Franciscan St. James Health - Olympia Fields,C,60461,41.5228644,-87.7112953,6099.7258350156,"20201 S. Crawford Avenue, Olympia Fields, IL 60461-1080"
695,Galesburg Cottage Hospital,C,61401,40.9556647,-90.3657881,6237.1860150255,"695 N. Kellogg Street, Galesburg, IL 61401-2885"
696,Heartland Regional Medical Center,C,62959,37.742889,-88.99147,6163.001046382,"3333 W. Deyoung Street, Marion, IL 62959"
697,Holy Cross Hospital,C,60629,41.76905,-87.6924155,6099.2048897915,"2701 W. 68th Street, Chicago, IL 60629-1882"
698,HSHS St. John's Hospital,C,62769,39.8057286,-89.6451854,6199.2678079262,"800 E. Carpenter Street, Springfield, IL 62769-0002"
699,HSHS St. Mary's Hospital,C,62521,39.8274883,-88.9316974,6161.4177615952,"1800 E. Lake Shore Drive, Decatur, IL 62521-3883"
700,Jackson Park Hospital,C,60649,41.7576761,-87.5851304,6093.6565297791,"7531 S. Stony Island Avenue, Chicago, IL 60649-3993"
701,John H. Stroger Jr. Hospital,C,60612,41.8727494,-87.6757854,6098.5420855421,"1969 W. Ogden, Chicago, IL 60612-3785"
702,Katherine Shaw Bethea Hospital,C,61021,41.8445416,-89.4793127,6191.3008462421,"403 E. First St, Dixon, IL 61021-3187"
703,Loyola University Medical Center,C,60153,41.8598585,-87.8351047,6106.7132262768,"2160 South First Avenue, Maywood, IL 60153-5585"
704,Memorial Hospital Belleville,C,62226,38.5502641,-90.0214907,6219.2611993663,"4500 Memorial Drive, Belleville, IL 62226-5399"
705,Memorial Medical Center,C,62781,39.8096826,-89.6560412,6199.8450390219,"701 N. First Street, Springfield, IL 62781-0001"
706,Mt. Sinai Hospital,C,60608,41.860833,-87.6946003,6099.4875796744,"1500 South Fairfield Avenue, Chicago, IL 60608"
707,"Northwestern Medicine, Lake Forest Hospital",C,60045,42.2564901,-87.8656264,6108.9672183854,"1000 N. Westmoreland Road, Lake Forest, IL 60045-1696"
708,Northwestern Memorial Hospital,C,60611,41.8946256,-87.6209858,6095.7658064547,"251 E. Huron Street, Chicago, IL 60611-2908"
709,OSF HealthCare System dba OSF Little Co of Mary Medical Center,C,60805,41.7213929,-87.6928628,6099.1396372883,"2800 West 95th Street, Evergreen Park, IL 60805-2795"
710,OSF Heart of Mary Medical Center,C,61801,40.1179701,-88.2276504,6124.4650689441,"1400 W. Park Street, Urbana, IL 61801-2396"
711,OSF St. Joseph Medical Center,C,61701,40.4825368,-88.9552457,6163.199316724,"2200 E. Washington Street, Bloomington, IL 61701-4323"
712,Passavant Area Hospital,C,62650,39.746148,-90.2601491,6231.9196866888,"1600 W. Walnut Street, Jacksonville, IL 62650-1136"
713,Saint Anthony Hospital,C,60623,41.855127,-87.6981271,6099.658418889,"2875 W. 19th Street, Chicago, IL 60623-3596"
714,SIH Herrin Hospital,C,62948,37.8014366,-89.0262152,6164.9413208607,"201 S. 14th Street, Herrin, IL 62948-3631"
715,SSM Health Good Samaritan Hospital - Mount Vernon,C,62864,38.2970823,-88.9389927,6160.5709220178,"1 Good Samaritan Way, Mount Vernon, IL 62864-2899"
716,St Bernard Hospital,C,60621,41.7785632,-87.6336764,6096.1972806504,"326 W. 64th Street, Chicago, IL 60621-3146"
717,St. Margaret's Health - Peru,C,61354,41.3289799,-89.1243531,6172.6706616614,"925 West Street, Peru, IL 61354-2757"
718,St. Margaret's Health - Spring Valley,C,61362,41.3289214,-89.1930754,6176.2358907986,"600 E. First Street, Spring Valley, IL 61362-2034"
719,Thorek Memorial Hospital,C,60613,41.9547337,-87.6515236,6097.4494873035,"850 W. Irving Park Road, Chicago, IL 60613-3077"
720,Trinity Moline,C,61265,41.4681104,-90.530915,6245.5857340767,"500 John Deere Rd, Moline, IL 61265"
721,Trinity Rock Island,C,61201,41.4826277,-90.5706604,6247.6367281498,"2701 17th Street, Rock Island, IL 61201-5393"
722,UnityPoint Health-Pekin,C,61554,40.5629866,-89.6328151,6198.8275891208,"600 S. 13th Street, Pekin, IL 61554-5098"
723,University of Illinois Hospital and Health Sciences System,C,60612,41.8693103,-87.6705173,6098.264711167,"1740 West Taylor Street, Chicago, IL 60612-7232"
724,UW Health SwedishAmerican Hospital,C,61104,42.2662132,-89.0736066,6170.7358071788,"1401 E. State Street, Rockford, IL 61104-2315"
725,Weiss Memorial Hospital,C,60640,41.966776,-87.6494472,6097.3656673309,"4646 N. Marine Drive, Chicago, IL 60640-1501"
726,West Suburban Medical Center,C,60302,41.8913716,-87.7761143,6103.7351806666,"3 Erie Court, Oak Park, IL 60302-2599"
727,Advocate Christ Medical Center,D,60453,41.7218793,-87.7324115,6101.1792524045,"4440 95th Street, Oak Lawn, IL 60453-2699"
728,Advocate South Suburban Hospital,D,60429,41.5664505,-87.6972842,6099.0816175529,"17800 S. Kedzie Avenue, Hazel Crest, IL 60429-0989"
729,Advocate Trinity Hospital,D,60617,41.7266761,-87.5669741,6092.6605803353,"2320 E. 93rd Street, Chicago, IL 60617-9984"
730,Community First Medical Center,D,60634,41.9454267,-87.7677308,6103.4013742042,"5645 W. Addison Street, Chicago, IL 60634-4455"
731,Gateway Regional Medical Center,D,62040,38.700844,-90.1432704,6225.8250366039,"2100 Madison Avenue, Granite City, IL 62040-4799"
732,Javon Bea Hospital,D,61103,42.2984409,-89.098972,6172.0561865048,"2400 N. Rockton Avenue, Rockford, IL 61103-3692"
733,Roseland Community Hospital,D,60628,41.6923072,-87.6253866,6095.6058855066,"45 W. 111th Street, Chicago, IL 60628-4200"
734,Sarah Bush Lincoln Health Center,D,61938,39.4881278,-88.2740009,6126.0742404812,"1000 Health Center Drive, Mattoon, IL 61938-0372"
735,Vista Medical Center East,F,60085,42.3781918,-87.8325227,6107.4891330401,"1324 N. Sheridan Road, Waukegan, IL 60085-2181"
736,Crossroads Community Hospital,G,62864,38.3119835,-88.9351449,6160.3741595143,"8 Doctors Park Road, Mount Vernon, IL 62864-6224"
737,HSHS Holy Family Hospital,G,62246,38.9033361,-89.4067214,6186.2018338673,"200 Health Care Drive, Greenville, IL 62246-1156"
738,Ascension St. Vincent Evansville,A,47750,37.9643196,-87.5040721,6082.1627339497,"3700 Washington Avenue, Evansville, IN 47750-0002"
739,Ascension St. Vincent Fishers Hospital,A,46037,39.9894966,-85.9161569,6002.0009101122,"13861 Olio Road, Fishers, IN 46037-3487"
740,Baptist Health Floyd,A,47150,38.3017384,-85.834286,5992.3161017864,"1850 State Street, New Albany, IN 47150-4997"
741,Community Howard Regional Health,A,46902,40.4466456,-86.1270708,6014.5336447726,"3500 S. Lafountain Street, Kokomo, IN 46902"
742,Deaconess Midtown Hospital,A,47747,37.9830836,-87.5712565,6085.8548197832,"600 Mary Street, Evansville, IN 47747-0001"
743,Dupont Hospital,A,46825,41.174876,-85.10943,5963.903406502,"2520 E. Dupont Road, Fort Wayne, IN 46825"
744,Franciscan Health Mooresville,A,46158,39.6076802,-86.3557477,6024.1738237331,"1201 Hadley Road, Mooresville, IN 46158-1789"
745,Good Samaritan Hospital,A,47591,38.6727348,-87.5328594,6085.0372981706,"520 S. Seventh Street, Vincennes, IN 47591-1098"
746,Goshen Health Hospital,A,46526,41.56341,-85.830526,6002.6443119087,"200 High Park Avenue, Goshen, IN 46526-4899"
747,Hancock Regional Hospital,A,46140,39.794902,-85.767705,5993.5139257225,"801 N. State Street, Greenfield, IN 46140-1270"
748,Hendricks Regional Health - Danville Hospital,A,46122,39.76255,-86.50165,6032.3512821184,"1000 E. Main Street, Danville, IN 46122-0409"
749,IU Health North Hospital,A,46032,39.959301,-86.1601632,6014.8145242047,"11700 N. Meridian Street, Carmel, IN 46032"
750,Northwest Health - Porter,A,46383,41.5519324,-87.0501981,6065.6135896221,"85 US-6 Frontage Road, Valparaiso, IN 46383"
751,Parkview Huntington Hospital,A,46750,40.905759,-85.4885479,5982.6283522279,"2001 Stults Road, Huntington, IN 46750-3696"
752,Parkview Regional Medical Center,A,46845,41.1841024,-85.0999992,5963.4496669598,"11109 Parkview Plaza Drive, Fort Wayne, IN 46845"
753,St. Elizabeth Dearborn,A,47025,39.111381,-84.8834278,5943.9541349907,"600 Wilson Creek Road, Lawrenceburg, IN 47025-1199"
754,St. Vincent Carmel Hospital,A,46032,39.982751,-86.143426,6013.9990850287,"13500 N. Meridian Street, Carmel, IN 46032"
755,Terre Haute Regional Hospital,A,47802,39.4195116,-87.4089787,6079.8278497349,"3901 S. Seventh Street, Terre Haute, IN 47802-5709"
756,Witham Health Services,A,46052,40.0762,-86.4750559,6031.7958943781,"2605 N. Lebanon Street, Lebanon, IN 46052"
757,Bluffton Regional Medical Center,B,46714,40.7374106,-85.1711496,5965.4369671336,"303 S. Main Street, Bluffton, IN 46714-2529"
758,Deaconess Gateway Hospital,B,47630,37.9744699,-87.444855,6078.957603629,"4011 Gateway Boulevard, Newburgh, IN 47630-8947"
759,Franciscan Health Crawfordsville,B,47933,40.0646545,-86.9082107,6054.6518626964,"1710 Lafayette Road, Crawfordsville, IN 47933-1099"
760,Franciscan Health Michigan City,B,46360,41.6597642,-86.8981078,6058.0226721973,"3500 Franciscan Way, Michigan City, IN 46360-4358"
761,Henry Community Health,B,47362,39.943402,-85.3630575,5972.5925072506,"1000 N. 16th Street, New Castle, IN 47362-4319"
762,IU Health Ball Memorial Hospital,B,47303,40.1968976,-85.4146284,5976.2235559676,"2401 West University Avenue, Muncie, IN 47303"
763,IU Health Bloomington Hospital,B,47408,39.1770464,-86.5023245,6030.8165523646,"2651 East Discovery Parkway, Bloomington, IN 47408"
764,IU Health West Hospital,B,46123,39.779959,-86.3401688,6023.8311110418,"1111 Ronald Reagan Parkway, Avon, IN 46123"
765,Johnson Memorial Hospital,B,46131,39.4795429,-86.0768772,6008.9568794499,"1125 W. Jefferson Street, Franklin, IN 46131-2140"
766,La Porte Hospital Company LLC dba Northwest Health - La Porte,B,46350,41.6091792,-86.7279259,6049.1116695667,"1331 State Street, La Porte, IN 46350-3201"
767,Lutheran Hospital of Indiana,B,46804,41.0390868,-85.2498969,5970.6852747004,"7950 W. Jefferson Boulevard, Fort Wayne, IN 46804-1677"
768,Marion General Hospital DBA Marion Health,B,46952,40.564681,-85.665463,5990.6904101725,"441 N. Wabash Avenue, Marion, IN 46952-2690"
769,Memorial Hospital of South Bend,B,46601,41.6840257,-86.2520515,6024.7742350233,"615 N. Michigan Street, South Bend, IN 46601-9986"
770,Parkview Noble Hospital,B,46755,41.448027,-85.295743,5974.6014118572,"401 N. Sawyer Road, Kendallville, IN 46755-0728"
771,Parkview Whitley Hospital,B,46725,41.158229,-85.4648969,5982.3020629529,"1260 East State Road 205, Columbia City, IN 46725-1623"
772,Reid Health,B,47374,39.8642159,-84.8848032,5946.983742922,"1100 Reid Parkway, Richmond, IN 47374-9693"
773,Saint Joseph Health Mishawaka Medical Center,B,46545,41.7065071,-86.1741259,6020.8263395498,"5215 Holy Cross Parkway, Mishawaka, IN 46545-1469"
774,Saint Joseph Health Plymouth Medical Center,B,46563,41.3334094,-86.3323421,6027.8850861647,"1915 Lake Avenue, Plymouth, IN 46563-9905"
775,St Vincent Anderson Regional Hospital,B,46016,40.0955671,-85.6814411,5989.9458750811,"2015 Jackson Street, Anderson, IN 46016-4339"
776,Clark Memorial Hospital,C,47130,38.2820658,-85.7493421,5987.6527862009,"1220 Missouri Avenue, Jeffersonville, IN 47130-3743"
777,Community Hospital,C,46321,41.5506256,-87.5062531,6089.1790329839,"901 MacArthur Boulevard, Munster, IN 46321-2959"
778,Community Hospital Anderson,C,46011,40.1303609,-85.6932496,5990.6857447885,"1515 N. Madison Avenue, Anderson, IN 46011-3453"
779,Community Hospital East,C,46219,39.7872463,-86.0749683,6009.784715906,"1500 N. Ritter Avenue, Indianapolis, IN 46219-3095"
780,Community Hospital North,C,46256,39.9006049,-86.0421807,6008.3925278991,"7150 Clearvista Drive, Indianapolis, IN 46256"
781,Community Hospital South,C,46227,39.6365539,-86.132546,6012.3893694302,"1402 East County Line Road, Indianapolis, IN 46227"
782,Daviess Community Hospital,C,47501,38.6586953,-87.1603192,6064.9206870048,"1314 E. Walnut Street, Washington, IN 47501-2198"
